source_id,predicate,target_id,relation_notes_key
NA2E992E1,ROUTES_TO,NC9573C88,
NA2E992E1,ROUTES_TO,NCB2C5821,
NA34E58AB,USES,N80597D51,
NA39783E7,BUILDS_ON,N79168975,
NA39783E7,DEFINES,N392B5A56,
NA39783E7,DEFINES,NB6D138CD,
NA39783E7,INTRODUCES,N2FE2B1D5,
NA3AFDFB2,RELATES_TO,NFE9D0CF4,
NA3AFDFB2,USED_FOR,N8B970ED5,
NA3F083B3,APPLIES_TO,N8E427A4A,
NA3F083B3,MEMBER_OF,N67107CD2,
NA3F083B3,WROTE,N3BBF82C5,
NA3F5A9D3,DEPENDS_ON,N022,
NA3F5A9D3,DEPENDS_ON,N025,
NA549376E,PART_OF,N48CFEF35,
NA549376E,USES,NCDCB94AC,
NA57006AB,IMPROVES,NBFE5C514,
NA733C2FA,ENCOURAGES,N50136D65,
NA737CD97,ENABLES,NB9A7000D,
NA9077794,RELATED_TO,N564D4BAD,
NA960CF8F,CONTAINS,N60D9E500,
NAAD861FC,CONTAINS,N80F91943,
NAAD861FC,HAS_COMPONENT,NC6429C45,
NAAFFA70F,CONTRASTS_WITH,N65E284FF,
NAAFFA70F,HAS_EXAMPLE,NBFE5C514,
NAAFFA70F,INCLUDES,NB1470AEE,
NAAFFA70F,INSTANCE_OF,N7B9016F5,
NAAFFA70F,USES,NA57006AB,
NAB11A614,ENABLES,N7BF2A925,
NAB11A614,FACILITATES,NC5DF46BA,
NAB11A614,INCLUDES,NBFFBCB44,
NAB11A614,PROMOTES,NC5DF46BA,
NAB11A614,REQUIRES,NC5DF46BA,
NAB11A614,SUPPORTS,N2DB98A1C,
NAB4054AC,HAS_COMPONENT,NF59FBF53,
NABB5E066,HAS_COMPONENT,N11AADE47,
NABB5E066,HAS_COMPONENT,NDF5BD829,
NABB5E066,HAS_COMPONENT,NF9106E2E,
NABE6BAF2,CONTAINS,NF5761DE5,
NABE6BAF2,ENABLES,N3C18E845,
NABE6BAF2,HAS_WEATHER,N048C72C2,
NAC55E125,HAS_COMPONENT,N04875BA9,
NAC82730A,APPLIES_FOR,N737A8760,
NACC5FBD1,BUILDS_ON,NDA8D4EB5,
NAD162010,CONTRASTS_WITH,NFEA664D6,
NAD286B48,ENABLES,NC1917450,
NADB3E2B7,ENABLES,NAFEC108E,
NADFFA6BA,IS_A,NABE6BAF2,
NAFB73D55,ILLUSTRATES,NC05193F8,
NAFEC108E,BUILDS_ON,N036,
NAFEC108E,HAS_COMPONENT,N08AE098A,
NB004B0EC,DEPENDS_ON,NCB2C5821,
NB004B0EC,IS_A_TYPE_OF,NCB00FF8B,
NB011D9FA,IS_A_TYPE_OF,N055,
NB07EB9E3,INSTANCE_OF,NDA8D4EB5,
NB07EB9E3,IS_A,NDA8D4EB5,
NB1233A47,INFORMS,N310E2CE2,
NB19658BF,USED_FOR,N097CAC19,
NB1DAEFBA,BUILDS_ON,NF6F3DA77,
NB2031F33,CONSUMED_AT,N87607370,
NB221FEFC,DEPENDS_ON,ND54C8233,
NB221FEFC,RELATES_TO,N048,
NB23E21B4,USES,NDDBC881F,
NB24C3631,ENABLED_BY,NC90E00C4,
NB2C38DF4,ENABLES,N1C375295,
NB483EDFC,INSTANCE_OF,N4E23E76C,
NB4BB93FA,INFLUENCES,N123B156B,
NB4BB93FA,LEADS_TO,ND73B3FEF,
NB4BB93FA,SHARES_COMMON_CURRENCY_WITH,N123B156B,
NB5C43346,ADOPTS,NB9A7000D,
NB5C43346,AIMS_TO_REDUCE,NE000FE25,
NB5C43346,BUILDS_ON,N011,
NB5C43346,BUILDS_ON,NADF28416,
NB5C43346,BUILDS_ON,NB84E1CB0,
NB5C43346,BUILDS_ON,NED9C7E37,
NB5C43346,CONTAINS,NAAD861FC,
NB5C43346,CONTRASTS_WITH,NE000FE25,
NB5C43346,DEPENDS_ON,N8D3BCE4B,
NB5C43346,DEPENDS_ON,NA737CD97,
NB5C43346,DEPENDS_ON,NC08316E1,
NB5C43346,DEPENDS_ON,ND23D54C5,
NB5C43346,ENABLES,NB3EA84FF,
NB5C43346,ENABLES,ND23D54C5,
NB5C43346,HAS_COMPONENT,N497E2E7C,
NB5C43346,HAS_COMPONENT,N560736BA,
NB5C43346,HAS_COMPONENT,N80F91943,
NB5C43346,HAS_COMPONENT,NAAD861FC,
NB5C43346,HAS_COMPONENT,NC6429C45,
NB5C43346,HAS_COMPONENT,ND3CB0CBD,
NB5C43346,HAS_COMPONENT,NF59459DC,
NB5C43346,IMPLEMENTS,N9FBC81D9,
NB5C43346,IMPLEMENTS,NB3EA84FF,
NB5C43346,IMPLEMENTS,NB9A7000D,
NB5C43346,INCLUDES,N560736BA,
NB5C43346,INCLUDES,N90570CE6,
NB5C43346,REQUIRES,N5ECF7934,
NB5C43346,REQUIRES,NBB3DBA83,
NB5C43346,USED_FOR,NE000FE25,
NB5C43346,USES,NC08316E1,
NB60EDCC3,CONTRASTS_WITH,NEB28716E,
NB84E1CB0,BUILDS_ON,N2371AF1E,
NB84E1CB0,DEPENDS_ON,N35FE031C,
NB84E1CB0,USED_FOR,ND23D54C5,
NB959F591,RELATES_TO,N8B970ED5,
NB959F591,USES,N8B970ED5,
NB96CC487,ILLUSTRATES,N3A103053,
NB993F250,USED_FOR,N051,
NB9A7000D,ENABLES,NB3EA84FF,
NBAD12C99,REQUIRES,N65C9B3DB,
NBC324770,HAS_COMPONENT,N15704CDD,
NBC324770,HAS_COMPONENT,N499438F1,
NBC437B72,INFLUENCES,N6D723103,
NBC9674D7,WRITES,N672BB1CB,
NBC9674D7,WRITTEN_BY,N672BB1CB,
NBCB661A4,DETERMINES,N6E55E123,
NBCB661A4,HAS_STATE,N76905E96,
NBCB661A4,HAS_STATE,NB813602E,
NBCF9E780,ATTEMPTS_TO_CATCH,N8BF6165D,
NBCF9E780,EXPERIENCES,N71303C41,
NBCF9E780,LOCATED_IN,NABE6BAF2,
NBCF9E780,OBSERVES,NF0D52FA9,
NBD0C473A,INFLUENCES,N13B4E42F,
NBD40CECE,ENABLED_BY,N13E9786E,
NBD86E1F7,CONTEXTUALIZES,N4FC0DC40,
NBD9C7273,EXPRESSES,NF5B76B73,
NBDA0BA39,CONNECTS_TO,N7211AB17,
NBEDF747C,CONTRASTS_WITH,N056,
NBEDF747C,CONTRASTS_WITH,NFE828A98,
NBF0C608E,ENABLES,N7211AB17,
NBF35DAC9,BUILDS_ON,NF52F4008,
NBFE5C514,IS_A_PART_OF,N96D7B6F8,
NBFF9B4A7,ENABLED_BY,NED0E9439,
NBFFBCB44,ENABLES,N7B4D2D15,
NBFFBCB44,SUPPORTS,N82581032,
NC05193F8,LEADS_TO,NF46C0826,
NC08316E1,BUILDS_ON,N011,
NC08316E1,ENABLES,N65426980,
NC08316E1,HAS_COMPONENT,N23FC9094,
NC08316E1,HAS_COMPONENT,N2EAFCA32,
NC08316E1,HAS_COMPONENT,NA20BC744,
NC08316E1,HAS_COMPONENT,NA2E992E1,
NC08316E1,HAS_COMPONENT,NB5996B94,
NC08316E1,HAS_COMPONENT,NC9573C88,
NC08316E1,INCLUDES,NCDB16ADC,
NC1917450,CREATES,NAD286B48,
NC22B72E7,IS_PART_OF,N3CBC0687,
NC237D6CF,CONTRASTS_WITH,NDD30A3B1,
NC2477DA5,CONTRASTS_WITH,N536E2466,
NC2483587,IS_AFFECTED_BY,N0CDEA82F,
NC24D971D,HAS_METHOD,N40C4B9A6,
NC24D971D,IMPLEMENTS,NA325E4FD,
NC2AD7D1E,HAS_COMPONENT,N0C43A635,
NC2AD7D1E,HAS_COMPONENT,N9238490D,
NC2AD7D1E,HAS_COMPONENT,NAE5E28FD,
NC2AD7D1E,INSTANCE_OF,N051,
NC2AD7D1E,USES,N0EC255F0,
NC2AD7D1E,USES,N222BE3E1,
NC2AD7D1E,USES,N2D616395,
NC33D1497,DEPENDS_ON,N6BDC5159,
NC36383DC,CONTAINS,N44578D8E,
NC36383DC,HAS_COMPONENT,N2BB51F33,
NC3AD2F5A,ENABLES,N570CAAB7,
NC41FF752,CONTRASTS_WITH,N021,
NC43CC7BE,ENABLES,N51185526,
NC4C245C2,INCLUDES,N0E239B5B,
NC4C245C2,INCLUDES,NEF42918C,
NC5DF46BA,ENCOURAGES,N7BF2A925,
NC6429C45,CONTAINS,N1C6199B7,
NC6429C45,HAS_COMPONENT,ND3CB0CBD,
NC6E08498,ENABLES,N0F66ED08,
NC73A8AB5,CONTAINS,N4137B64F,
NC75448EE,USED_FOR,N33FBCFA0,
NC75B564D,RELATES_TO,N006,
NC76D1B0C,DEPENDS_ON,ND54C8233,
NC834B612,INSTANCE_OF,N64795A3E,
NC90E00C4,RESPONDS_TO,NB303756B,
NC9573C88,ENABLES,N151723B7,
NC9573C88,ENABLES,NA2E992E1,
NC9573C88,HAS_COMPONENT,N484B8219,
NC97C3752,INSTANCE_OF,N5D50D49D,
NC9E926C8,CONTAINS,N8A406489,
NC9E926C8,ENABLES,NE1A1DCBE,
NCA14948C,DISSOLVES,NDCCF845F,
NCAA66E55,ENABLES,N14556BD0,
NCAA66E55,ENABLES,N20AE951B,
NCB2C5821,ENABLES,N151723B7,
NCB2C5821,USED_FOR,N151723B7,
NCB6101C0,ADDRESSES,N851D75EC,
NCC47DF2D,DRIVES,N82581032,
NCC5EAE58,CONTRASTS_WITH,NE64ED4BA,
NCC935824,CONTRASTS_WITH,N021,
NCCEBD9C8,CONTRASTS_WITH,N65F0C5F4,
NCDB16ADC,CONTAINS,NC08316E1,
NCDCB94AC,INSTANCE_OF,N036,
NCE0C17E3,CONTAINS,N1E83052D,
NCE0C17E3,CONTAINS,N57CFB807,
NCE0C17E3,CONTAINS,N5DF993D4,
NCE0C17E3,CONTAINS,NC92CA508,
NCE0C17E3,ENABLED_BY,NEC240EF5,
NCE0C17E3,HAS_COMPONENT,N04B93B2F,
NCE0C17E3,HAS_COMPONENT,N1E83052D,
NCE0C17E3,HAS_COMPONENT,N57CFB807,
NCE0C17E3,HAS_COMPONENT,N5DF993D4,
NCE0C17E3,HAS_COMPONENT,NC92CA508,
NCE0C17E3,HAS_COMPONENT,NDDBDA997,
NCE0C17E3,INCLUDES,N0667B066,
NCE0C17E3,INCLUDES,NFEDFC11D,
NCE5B45B0,CONTRASTS_WITH,N344B3AD5,
NCE5B45B0,SUPPORTS,NED2D9C7D,
ND146A94F,CONTRASTS_WITH,NE000FE25,
ND15FD4AD,CONTAINS,N4492E96C,
ND15FD4AD,CONTAINS,ND55F7BD5,
ND1C6F2CE,INSTANCE_OF,NDFE4EC9C,
ND23D54C5,ENABLES,N80F91943,
ND2E8A9C9,IS_A,N2311D80D,
ND3377A2B,REQUIRES,N066,
ND3377A2B,USES_TECH,N069,
ND426973C,ENABLES,N0F66ED08,
ND478A9D8,ENABLES,NA1E48922,
ND478A9D8,ENABLES,NACC5FBD1,
ND4A4EB2A,ENABLES,NA1E48922,
ND50F55E4,COUNTERS,N3E44961A,
ND54C8233,ENABLES,NC76D1B0C,
ND638E6E7,SUPPORTS,NF79D3B00,
ND675716D,ENABLED_BY,N5416357D,
ND69C6D7C,INFLUENCES,NED0E9439,
ND73431A3,EXHIBITS,N3C4C3FD3,
ND73431A3,IS,N3C4C3FD3,
ND73431A3,USES,N0A830D0A,
ND73B3FEF,CONTRIBUTES_TO,N1B0BE4C9,
ND73B3FEF,CREATES,N1B0BE4C9,
ND76607D5,IDENTIFIES,N9E2C0A7E,
ND76E9E29,ADDRESSES,N9E2C0A7E,
ND82BC9E1,INCLUDES,N2598FCA9,
ND8602A95,GENERATES,N734F5FA5,
ND8602A95,GENERATES,NA5076E43,
ND8602A95,GENERATES,NDE629A0C,
ND8602A95,REQUIRES,NF564FD36,
ND874D90B,CONTRASTS_WITH,N036,
ND8ACC515,DEPENDS_ON,N036,
ND8ACC515,DEPENDS_ON,NC73A8AB5,
ND8ACC515,ENABLES,N1B2C9F1C,
ND8ACC515,ENABLES,N5CFA6136,
ND8ACC515,ENABLES,NB2A1EE91,
ND8ACC515,USES,N8DFD2AD3,
ND8BAE224,ENABLES,NFE083D3C,
ND9103C7D,BUILDS_ON,N60D6A5E8,
ND9103C7D,ENABLES,N505FBDA8,
ND991A581,ENABLED_BY,N3A103053,
ND991A581,ENABLES,N558629E3,
ND991A581,REMOVES,N4E77FBF0,
ND9A5FA87,DEPENDS_ON,NF6F3DA77,
NDA350DF2,ENABLES,N4137B64F,
NDBCB22C8,CONTRIBUTES_TO,NE000FE25,
NDBCB22C8,ENABLES,ND146A94F,
NDBDF51B7,HAS_COMPONENT,NFBBAA9FE,
NDC5423E9,BUILDS_ON,N055,
NDCCF845F,ENABLES,NF6F3DA77,
NDD2DC24B,ENABLES,NF3522A86,
NDD2DC24B,SERVES,NF3522A86,
NDD30A3B1,ENABLES,NC1EFAC6B,
NDD90C64E,REFLECTS,NDCCF845F,
NDDBDA997,CREATED_FROM,ND2CC868E,
NDDBDA997,DEPENDS_ON,ND2CC868E,
NDE629A0C,CALCULATES,NED4C8475,
NDE79D964,REQUIRES,NC842EDF0,
NDF428137,BUILDS_ON,N012,
NDF428137,BUILDS_ON,NFE9D0CF4,
NDF428137,USES,NBDA0BA39,
NDF5BD829,CONTRASTS_WITH,NABD8943C,
NDF5BD829,USES,NF9106E2E,
NDF7B394E,CREATES,N43D618E2,
NDFE4EC9C,CONTRASTS_WITH,N8451CA10,
NE000FE25,CONTRASTS_WITH,N65964C22,
NE000FE25,CONTRASTS_WITH,N9BA7F69C,
NE000FE25,USED_FOR,N9BA7F69C,
NE13B0E04,BUILDS_ON,NDC7BE684,
NE13B0E04,IMPLEMENTS,NC3AD2F5A,
NE17DB88C,SUPPORTS,NA7E7ADE7,
NE2C3AA90,CONTRASTS_WITH,N9699C7CD,
NE2C3AA90,IMPLEMENTS,N94FC4795,
NE2E776A1,CONTAINS,N2B6BDC18,
NE2E776A1,DESIGNS_FOR,N0D061965,
NE2E776A1,HAS_COMPONENT,NE82DF62B,
NE371F5B6,ENABLES,N3B3D4EA8,
NE43948FB,CONTRASTS_WITH,NE6C07994,
NE52E5275,DEPENDS_ON,NF73C153D,
NE52E5275,IMPROVES,NFC98A387,
NE53309A7,USES,N4F4481BB,
NE5B1F0C1,REQUIRES,N49D68BAF,
NE5EB155B,ENABLES,N5B6C4B42,
NE5EB155B,POWERED_BY,N5B6C4B42,
NE6C07994,HAS_COMPONENT,N0A256D58,
NE75AD39E,IMPROVES,N291067E5,
NE7E94828,FUNDED,NDD2DC24B,
NE7E94828,FUNDS,NDD2DC24B,
NE8B345FA,CONTRASTS_WITH,N2DD807AC,
NE8D77D25,HAS_COMPONENT,N53AE88B1,
NE9747440,ENHANCES,N560736BA,
NEA298681,DESCRIBES,NC4C245C2,
NEA641823,CONTRASTS_WITH,N129A108C,
NEB28716E,ENABLES,NDA8D4EB5,
NEBD83B04,BENEFITS_FROM,N606B72F7,
NECB4F1C7,ENABLES,N0F66ED08,
NED0E9439,DEPENDS_ON,N5C251C2F,
NED0E9439,ENABLED_BY,N50E9C616,
NED0E9439,HAS_COMPONENT,NDDBCF173,
NED4C8475,NORMALIZES,N0587306C,
NED9C7E37,BUILDS_ON,NFE9D0CF4,
NEE3A2B04,INSTANCE_OF,NDA8D4EB5,
NEFB8AE0A,IMPLEMENTS,N4137B64F,
NEFC7FC79,HAS_COMPONENT,N76D97464,
NF0536E61,USED_FOR,N7211AB17,
NF0C72C40,SUPPORTS,N717CB032,
NF0FBDDBB,INSTANCE_OF,N88946CC2,
NF11457C6,INCLUDES,N084F77A1,
NF11457C6,INCLUDES,NA549376E,
NF126316E,ENABLES,NC97DBC48,
NF126316E,IMPLEMENTS,NC97DBC48,
NF1409ED0,DEVELOPS,N6D723103,
NF1409ED0,ENCOURAGES,NAB11A614,
NF1EDC912,ENABLES,N8342A342,
NF2073FF4,CONTRASTS_WITH,NFE828A98,
NF2073FF4,INSTANCE_OF,N056,
NF2145BB2,DESCRIBES,N76D97464,
NF318621A,DEMONSTRATES,NBD9C7273,
NF5028413,INSTANCE_OF,N9233DF89,
NF52F4008,CONTAINS,N001,
NF59459DC,DEPENDS_ON,N5ECF7934,
NF59459DC,DEPENDS_ON,ND23D54C5,
NF5B76B73,BUILDS_ON,NBD9C7273,
NF5B76B73,CONTRASTS_WITH,NF5761DE5,
NF5B96C4F,BUILDS_ON,NFBBAA9FE,
NF5EA208E,USES,NE5EB155B,
NF5FD00FD,INFLUENCES,N44D06FA6,
NF5FD00FD,REPRESENTS,NB9B56408,
NF6F3DA77,BUILDS_ON,N4315D5D0,
NF6F3DA77,DEPENDS_ON,N08240D28,
NF6F3DA77,DEPENDS_ON,NCCEBD9C8,
NF6F3DA77,ENABLES,NDCCF845F,
NF6F3DA77,MANIFESTS_AS,NFEA664D6,
NF73C153D,REVEALS,N9E2C0A7E,
NF7860C1F,IS_A,N05999767,
NF7860C1F,IS_A,N303863E9,
NF7860C1F,IS_A,N3E3B27B2,
NF7860C1F,IS_A,N5D42772E,
NF83B17FC,CONTRASTS_WITH,NF6F3DA77,
NF86FD068,CONCERNS,NC6429C45,
NF9106E2E,USES,NDF5BD829,
NF93ABDFB,INSTANCE_OF,N5D50D49D,
NF93ABDFB,RELATES_TO,N079,
NFA0FFBC5,DEPENDS_ON,N044,
NFA733E7C,INFORMS,N310E2CE2,
NFA733E7C,SUPPORTS,N7CFC8B21,
NFA82F7AE,ENABLES,NE75AD39E,
NFA82F7AE,INTEGRATES_WITH,N036,
NFA82F7AE,INTEGRATES_WITH,N328572E7,
NFA82F7AE,INTEGRATES_WITH,NAFEC108E,
NFA82F7AE,USES,N225C9E44,
NFA82F7AE,USES,N2D3DC0D0,
NFA82F7AE,USES,N737A85FA,
NFAFB000A,CONTRIBUTES_TO,N6CA982B0,
NFAFB000A,NORMALIZES,N0587306C,
NFB0F4581,RELATES_TO,N057,
NFB359D6B,INSTANCE_OF,N6BE61E34,
NFBBAA9FE,ENABLES,N021,
NFE453A23,INSTANCE_OF,N5D50D49D,
NFE9D0CF4,CREATED_BY,N15E2F79F,
NFE9D0CF4,DEPENDS_ON,N15E2F79F,
NFE9D0CF4,ENABLES,N08FAC800,
NFE9D0CF4,ENABLES,N7F9EFFD8,
NFE9D0CF4,HAS_COMPONENT,N4C596BEC,
NFE9D0CF4,RELATES_TO,N002,
NFEA664D6,DEPENDS_ON,N7B4D2D15,
NFEA664D6,INSTANCE_OF,NF6F3DA77,
NFEF185F5,ENABLED_BY,N431A11A1,
NFF11CB8B,IMPLEMENTS,N055,
